session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
厦门,101XM_02,DSC_2094.NEF,8,-1,False,ok,0.9837,1.374,6.992,10.504,12.173,37.957,-0.004,-1.212,0.648,13.0,7.0,252.0,235.0,0.002,0.513,3.75,3.699,1.5,eccecfcfcf9ee7e4,,K:\data\photo\厦门\101XM_02\DSC_2094.NEF
厦门,101XM_02,DSC_2099.NEF,8,-1,False,ok,0.9904,2.846,7.597,11.384,12.799,43.965,-0.275,-1.461,2.427,11.0,6.0,247.0,230.0,0.065,1.058,0.513,4.531,1.5,d80e0f6f1e6a6c6e,,K:\data\photo\厦门\101XM_02\DSC_2099.NEF
厦门,101XM_02,DSC_2103.NEF,8,-1,False,ok,0.9906,3.216,7.923,11.157,12.27,48.324,-0.125,-1.447,2.869,11.0,6.0,249.0,233.0,0.133,0.648,1.692,12.374,1.5,d8dc0e8e1e286c6c,,K:\data\photo\厦门\101XM_02\DSC_2103.NEF
厦门,101XM_02,DSC_2106.NEF,8,-1,False,ok,0.9853,3.732,8.628,10.152,10.316,50.86,-1.465,-1.511,3.082,11.0,7.0,253.0,236.0,0.072,0.415,4.27,19.169,1.5,d8d8cc8c9caca8a8,,K:\data\photo\厦门\101XM_02\DSC_2106.NEF
厦门,101XM_02,DSC_2112.NEF,8,-1,False,ok,0.9814,3.806,8.075,11.276,12.434,41.926,-0.664,-2.342,2.926,44.0,24.0,238.0,228.0,0.0,0.095,0.094,3.831,1.5,2c282a3e3f3f3c3c,,K:\data\photo\厦门\101XM_02\DSC_2112.NEF
厦门,101XM_02,DSC_2116.NEF,1,0,False,ok,0.9822,7.085,8.56,12.748,13.761,12.748,-3.558,-2.916,5.39,30.0,11.0,168.0,215.0,0.002,2.994,0.0,0.076,1.5,fcfefefef8f0d1d6,,K:\data\photo\厦门\101XM_02\DSC_2116.NEF
厦门,101XM_02,DSC_2117.NEF,1,0,False,ok,0.9836,6.71,8.172,12.209,13.215,12.209,-3.284,-3.01,5.018,29.0,10.0,165.0,210.0,0.014,3.216,0.0,0.056,1.5,fcfefefef8f0d1d4,,K:\data\photo\厦门\101XM_02\DSC_2117.NEF
厦门,101XM_02,DSC_2118.NEF,1,0,False,ok,0.9821,6.912,8.273,12.377,13.431,12.377,-3.668,-3.012,5.026,28.0,11.0,166.0,208.0,0.022,3.126,0.0,0.038,1.5,fcfcfefef8f0d0d6,,K:\data\photo\厦门\101XM_02\DSC_2118.NEF
厦门,101XM_02,DSC_2121.NEF,8,-1,False,ok,0.967,10.353,12.465,13.665,14.251,43.346,-2.346,-5.824,8.231,18.0,9.0,235.0,234.0,0.005,0.146,0.438,25.46,1.5,d0182c5830309898,,K:\data\photo\厦门\101XM_02\DSC_2121.NEF
厦门,101XM_02,DSC_2123.NEF,8,-1,False,ok,0.9686,10.909,13.026,14.332,15.008,43.596,-2.609,-6.076,8.676,19.0,10.0,245.0,238.0,0.0,0.147,1.223,20.994,1.5,581c2c4878d8d8d8,,K:\data\photo\厦门\101XM_02\DSC_2123.NEF
厦门,101XM_02,DSC_2124.NEF,1,0,False,ok,0.9785,8.541,9.277,9.637,13.125,9.637,-7.001,-2.497,4.208,86.0,108.0,207.0,208.0,0.0,0.0,0.035,0.072,1.5,f8f8f4f8f0f8f4f0,,K:\data\photo\厦门\101XM_02\DSC_2124.NEF
厦门,101XM_02,DSC_2127.NEF,6,1,False,ok,0.9841,7.224,9.097,11.641,12.831,35.493,-1.871,-4.177,5.589,15.0,8.0,245.0,235.0,0.011,0.171,0.398,0.661,1.5,cec6c6ccc1ceccc8,,K:\data\photo\厦门\101XM_02\DSC_2127.NEF
厦门,101XM_02,DSC_2130.NEF,8,-1,False,ok,0.9709,8.333,10.368,11.265,11.373,40.081,-2.318,-4.987,6.261,21.0,8.0,241.0,223.0,0.068,0.725,0.847,13.821,1.5,d858582c78f8f8f8,,K:\data\photo\厦门\101XM_02\DSC_2130.NEF
厦门,101XM_02,DSC_2133.NEF,8,-1,False,ok,0.9696,7.861,10.334,11.227,11.36,40.059,-2.572,-4.706,5.748,24.0,9.0,248.0,226.0,0.014,0.433,1.222,12.927,1.5,f858583828f8b8b8,,K:\data\photo\厦门\101XM_02\DSC_2133.NEF
厦门,101XM_02,DSC_2135.NEF,1,0,False,ok,0.9583,6.995,9.052,10.651,11.039,10.651,-2.309,-3.868,5.351,21.0,8.0,251.0,237.0,0.107,0.598,3.069,11.284,1.5,feffefcfcfeac9ce,,K:\data\photo\厦门\101XM_02\DSC_2135.NEF
厦门,101XM_02,DSC_2136.NEF,8,-1,False,ok,0.9732,8.854,10.91,11.849,11.968,38.733,-1.93,-4.708,7.246,21.0,8.0,251.0,233.0,0.01,0.507,3.108,16.24,1.5,f8d8d8d8b8d8f8f8,,K:\data\photo\厦门\101XM_02\DSC_2136.NEF
厦门,101XM_02,DSC_2148.NEF,1,0,False,ok,0.9842,6.696,8.345,8.917,9.074,8.917,-3.289,-3.69,4.517,17.0,9.0,213.0,216.0,0.03,0.178,0.017,0.24,1.5,fefede9e1f1a3938,,K:\data\photo\厦门\101XM_02\DSC_2148.NEF
厦门,101XM_02,DSC_2153.NEF,1,0,False,ok,0.9876,5.872,8.199,9.154,9.363,9.154,-2.952,-3.427,3.744,12.0,6.0,216.0,222.0,0.126,0.436,0.018,0.801,1.5,fefede5d29af98bb,,K:\data\photo\厦门\101XM_02\DSC_2153.NEF
厦门,101XM_02,DSC_2159.NEF,1,0,False,ok,0.9873,5.019,6.912,8.774,9.892,8.774,-2.882,-3.618,1.948,12.0,7.0,208.0,206.0,0.132,0.262,0.015,0.733,1.5,fe9c9cae2c6e5b58,,K:\data\photo\厦门\101XM_02\DSC_2159.NEF
